danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,547107,Free Bird,Lynyrd Skynyrd
0.557,0.827,1,-4.885,0,0.0387,0.000431,5.13e-05,0.151,0.419,117.019,https://api.spotify.com/v1/tracks/0KS9V6ihDVgbotoOov3QZH,272600,Molecules,Atlas Genius
0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,https://api.spotify.com/v1/tracks/7JXZq0JgG2zTrSOAgY8VMC,320400,Jungle,Drake
0.432,0.722,10,-5.568,0,0.0542,0.782,0.0,0.145,0.837,136.061,https://api.spotify.com/v1/tracks/2bHqwpV9FlAjdsERULo2ts,152067,Gypsy Woman,Joe Bataan
0.302,0.4,0,-8.212,0,0.0364,0.719,0.000621,0.172,0.421,180.852,https://api.spotify.com/v1/tracks/6IAuH3hgTRpUUdmOGubXGS,190547,Can I Call You Rose?,Thee Sacred Souls
0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,https://api.spotify.com/v1/tracks/1D3z6HTiQsNmZxjl7F7eoG,218802,m y . l i f e (with 21 Savage & Morray),J. Cole
0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,https://api.spotify.com/v1/tracks/6IZvVAP7VPPnsGX6bvgkqg,275253,PRIDE.,Kendrick Lamar
0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,309053,The Adults Are Talking,The Strokes
0.228,0.161,10,-17.008,1,0.0363,0.952,0.888,0.124,0.0954,71.06,https://api.spotify.com/v1/tracks/1OAb3BhCFLohozKSJ2I34R,936000,"Symphony No. 9 In D Minor, Op. 125 - ""Choral"": 1. Allegro ma non troppo, un poco maestoso - Live At Philharmonie, Berlin / 1983",Ludwig van Beethoven
0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,https://api.spotify.com/v1/tracks/4PTG3Z6ehGkBFwjybzWkR8,213573,Never Gonna Give You Up,Rick Astley
0.377,0.296,10,-9.815,1,0.0902,0.826,1.05e-05,0.093,0.243,80.13,https://api.spotify.com/v1/tracks/5t3Uyzbw2XISfoks8ujnIC,196493,Beige (unburdened),Yoke Lore
0.657,0.679,2,-5.511,1,0.0269,0.00246,0.0,0.211,0.331,120.007,https://api.spotify.com/v1/tracks/6TwfdLbaxTKzQi3AgsZNzx,225307,Daylight,Maroon 5
0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ,222091,Grenade,Bruno Mars
0.664,0.405,1,-7.413,1,0.08,0.877,0.000765,0.11,0.743,81.89,https://api.spotify.com/v1/tracks/1Ukxccao1BlWrPhYkcXbwZ,169573,From The Start,Laufey
0.655,0.478,9,-6.364,1,0.0289,0.328,0.0,0.206,0.608,142.068,https://api.spotify.com/v1/tracks/2rh74erKixxVL5jybdahEd,254307,Busyhead,Noah Kahan
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,238805,Heat Waves,Glass Animals
0.56,0.544,10,-8.25,1,0.0284,0.394,5.02e-05,0.224,0.472,82.028,https://api.spotify.com/v1/tracks/30bqNfOgcJOw2EWJJl1w5J,188098,Soft Spot,Claud
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,159246,End of Beginning,Djo
0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,https://api.spotify.com/v1/tracks/7vgTNTaEz3CsBZ1N4YQalM,271387,Ghost Town,Kanye West
0.727,0.567,4,-10.139,0,0.571,0.502,0.0,0.259,0.452,120.097,https://api.spotify.com/v1/tracks/5PqVcm1TdqsjXkShVVV7UY,237046,Communicate,Mick Jenkins
0.724,0.782,11,-4.445,0,0.237,0.25,0.0,0.584,0.593,77.008,https://api.spotify.com/v1/tracks/6fRv9jc95tkR283r9T7oFs,169800,Enemy - Radio Edit,Imagine Dragons
0.707,0.656,4,-9.279,1,0.173,0.743,0.0,0.172,0.748,118.037,https://api.spotify.com/v1/tracks/2bwSCIuNtVrQPVddCi8sOW,210320,Where You Are,Christopher Jackson
0.378,0.408,4,-12.054,1,0.0387,0.692,0.0408,0.1,0.224,122.964,https://api.spotify.com/v1/tracks/205Dyp6IqtOcYRX72QvbB7,270314,Metamorphosis,Infinity Song
0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,https://api.spotify.com/v1/tracks/2bfGNzdiRa1jXZRdfssSzR,230426,Dirty Harry,Gorillaz
0.609,0.232,6,-11.989,1,0.0272,0.417,0.0187,0.107,0.27,79.821,https://api.spotify.com/v1/tracks/5tuBenbZ1Or9xENTyOKoGC,226507,Jonny,Faye Webster
0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,251489,Everybody Wants To Rule The World,Tears For Fears
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,257800,Dreams - 2004 Remaster,Fleetwood Mac
0.483,0.615,1,-10.245,1,0.454,0.898,5.75e-05,0.102,0.547,78.403,https://api.spotify.com/v1/tracks/11iOB65szCoy6e5dscKrai,779560,Your Favorite Rap Song,Flatbush Zombies
0.719,0.587,4,-8.963,0,0.141,0.504,0.0,0.129,0.871,108.994,https://api.spotify.com/v1/tracks/5YT9FRK5SxAQhNHEVUwpSB,200067,On the Flip of a Coin,The Streets
0.816,0.649,0,-5.12,0,0.242,0.709,0.0,0.52,0.686,138.056,https://api.spotify.com/v1/tracks/3Kh8X9lHztqVBTgw30HbXn,168933,Cobra,Megan Thee Stallion
